lang,repo,path,chars,fams,n_fam,external,ml,stoploss,timeframe,has_roi
freqtrade,freqtrade/freqtrade-strategies,user_data/hyperopts/GodStraHo.py,8394,ichimoku|macd|stoch,3,False,False,,,False
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Bandtastic.py,7310,bbands|mfi,2,False,False,-0.345,15m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/BreakEven.py,2249,,0,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/CustomStoplossWithPSAR.py,3800,psar,1,False,False,-0.2,1h,False
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Diamond.py,8210,,0,False,False,-0.271,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/FixedRiskRewardLoss.py,4925,atr|psar,2,False,False,-0.9,,False
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/GodStra.py,6801,ichimoku,1,False,False,-0.34549,12h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Heracles.py,3866,donchian|keltner,2,False,False,-0.256,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/HourBasedStrategy.py,4270,,0,False,False,-0.292,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/InformativeSample.py,4773,sma,1,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/MultiMa.py,3464,,0,False,False,-0.345,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/PatternRecognition.py,2674,,0,False,False,-0.288,1d,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/PowerTower.py,4317,,0,False,False,-0.288,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy001.py,4103,heikin,1,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy001_custom_exit.py,4931,heikin|rsi,2,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy002.py,4363,bbands|psar|stoch,3,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy003.py,5110,bbands|mfi|psar|stoch,4,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy004.py,5472,adx|cci|stoch,3,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Strategy005.py,6667,macd|psar|stoch,3,False,False,-0.1,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/Supertrend.py,7888,supertrend,1,False,False,-0.265,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/SwingHighToSky.py,3265,cci,1,False,False,-0.34338,15m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/TrendRiderStrategy.py,24740,adx|atr|bbands|macd|obv|rsi,6,True,False,-0.06,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/UniversalMACD.py,4558,macd,1,False,False,-0.318,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ADXMomentum.py,2137,adx|psar,2,False,False,-0.25,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ASDTSRockwellTrading.py,2575,macd,1,False,False,-0.3,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/AdxSmas.py,1784,adx,1,False,False,-0.25,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/AverageStrategy.py,2630,,0,False,False,-0.2,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/AwesomeMacd.py,1935,adx|macd,2,False,False,-0.25,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/BbandRsi.py,1854,bbands,1,False,False,-0.25,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/BinHV27.py,5879,adx,1,False,False,-0.5,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/BinHV45.py,2641,bbands,1,False,False,-0.05,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/CCIStrategy.py,4459,bbands|cci|mfi,3,False,False,-0.02,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/CMCWinner.py,3163,cci|mfi,2,False,False,-0.05,15m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ClucMay72018.py,2893,adx|bbands|macd,3,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/CofiBitStrategy.py,3058,adx|stoch,2,False,False,-0.25,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/CombinedBinHAndCluc.py,3265,bbands,1,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/DoesNothingStrategy.py,1182,,0,False,False,-1.0,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/EMASkipPump.py,3020,bbands,1,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/Freqtrade_backtest_validation_freqtrade1.py,1646,,0,False,False,-0.9,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/Low_BB.py,3642,bbands|cci|macd|mfi,4,False,False,-0.015,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/MACDStrategy.py,3052,cci|macd,2,False,False,-0.3,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/MACDStrategy_crossed.py,2335,cci|macd,2,False,False,-0.3,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/MultiRSI.py,2343,,0,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/Quickie.py,2647,adx|bbands|macd,3,False,False,-0.25,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ReinforcedAverageStrategy.py,3502,bbands,1,False,False,-0.2,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ReinforcedQuickie.py,8264,bbands|cci|macd|mfi,4,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/ReinforcedSmoothScalp.py,5903,adx|bbands|cci|mfi|sma|stoch,6,False,False,-0.1,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/Scalp.py,2847,adx|bbands|stoch,3,False,False,-0.04,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/Simple.py,2695,bbands|macd,2,False,False,-0.25,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/SmoothOperator.py,13297,adx|bbands|cci|macd|mfi,5,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/SmoothScalp.py,3861,adx|bbands|cci|macd|mfi|stoch,6,False,False,-0.5,1m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/TDSequentialStrategy.py,6707,,0,False,False,-0.05,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/berlinguyinca/TechnicalExampleStrategy.py,1069,,0,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/FAdxSmaStrategy.py,4091,adx,1,False,False,-0.05,1h,True
